#From,To,CC,BCC
kent@zel.com,duser11@monkey.com,,
kent@zel.com,,duser12@monkey.com,
kent@zel.com,,,duser13@monkey.com
nowhere@zel.com,duser21@monkey.com,duser22@monkey.com,duser23@monkey.com
kent@zel.com,duser41@monkey.com,group2@monkey.com,group5@monkey.com
kent@zel.com,,,duser13@monkey.com
kent@zel.com,,,duser13@monkey.com;group2@monkey.com;duser33@monkey.com;group5@monkey.com
kent@zel.com,,,duser12@monkey.com;duser22@monkey.com;duser32@monkey.com
nowhere@zel.com,duser11@monkey.com;duser41@monkey.com,duser12@monkey.com;group2@monkey.com,duser13@monkey.com;group5@monkey.com
kent@zel.com,duser11@monkey.com;duser21@monkey.com;duser31@monkey.com,duser12@monkey.com;duser22@monkey.com;duser32@monkey.com,duser13@monkey.com;duser23@monkey.com;duser33@monkey.com
kent@zel.com,duser21@monkey.com;duser31@monkey.com;duser41@monkey.com;duser51@monkey.com,duser22@monkey.com;duser32@monkey.com;group2@monkey.com;group3@monkey.com,duser23@monkey.com;duser33@monkey.com;group5@monkey.com;group4@monkey.com
kent@zel.com,duser11@monkey.com;duser21@monkey.com;duser31@monkey.com;duser41@monkey.com;duser51@monkey.com,duser12@monkey.com;duser22@monkey.com;duser32@monkey.com;group2@monkey.com;group3@monkey.com,duser13@monkey.com;duser23@monkey.com;duser33@monkey.com;group5@monkey.com;group4@monkey.com
nowhere@zel.com,duser21@monkey.com;duser31@monkey.com;group4@monkey.com,duser22@monkey.com;duser32@monkey.com;group5@moneky.com,duser23@monkey.com;duser33@monkey.com
kent@zel.com,group1@monkey.com;duser41@monkey.com,group2@monkey.com;duser51@monkey.com,group3@monkey.com
nowhere@zel.com,group1@monkey.com,group4@monkey.com,group5@monkey.com
kent@zel.com,duser12@monkey.com,,group2@monkey.com;group3@monkey.com;group4@monkey.com;group5@monkey.com
kent@zel.com,duser13@monkey.com,group2@monkey.com;group3@monkey.com;group4@monkey.com;group5@monkey.com,
nowhere@zel.com,nobody@monkey.com,,
nowhere@zel.com,,nobody@monkey.com,
nowhere@zel.com,,,nobody@monkey.com
nowhere@zel.com,,,duser11@monkey.com;nobody@monkey.com
nowhere@zel.com,group2@monkey.com,nobody@monkey.com,
nowhere@zel.com,,nobody@monkey.com,nobody@monkey.com
nowhere@zel.com,nobody@monkey.com,,group4@monkey.com
nowhere@zel.com,group5@monkey.com,nobody@monkey.com,nobody@monkey.com
