#From,To,CC,BCC
kent@zel.com,zjoe11@ztestaudit.zantaz.com,,
kent@zel.com,,zjoe12@ztestaudit.zantaz.com,
kent@zel.com,,,zjoe13@ztestaudit.zantaz.com
nowhere@zel.com,zjoe21@ztestaudit.zantaz.com,zjoe22@ztestaudit.zantaz.com,zjoe23@ztestaudit.zantaz.com
kent@zel.com,zjoe41@ztestaudit.zantaz.com,zjoeg2@ztestaudit.zantaz.com,zjoeg5@ztestaudit.zantaz.com
kent@zel.com,,,zjoe13@ztestaudit.zantaz.com
kent@zel.com,,,zjoe13@ztestaudit.zantaz.com;zjoeg2@ztestaudit.zantaz.com;zjoe33@ztestaudit.zantaz.com;zjoeg5@ztestaudit.zantaz.com
kent@zel.com,,,zjoe12@ztestaudit.zantaz.com;zjoe22@ztestaudit.zantaz.com;zjoe32@ztestaudit.zantaz.com
nowhere@zel.com,zjoe11@ztestaudit.zantaz.com;zjoe41@ztestaudit.zantaz.com,zjoe12@ztestaudit.zantaz.com;zjoeg2@ztestaudit.zantaz.com,zjoe13@ztestaudit.zantaz.com;zjoeg5@ztestaudit.zantaz.com
kent@zel.com,zjoe11@ztestaudit.zantaz.com;zjoe21@ztestaudit.zantaz.com;zjoe31@ztestaudit.zantaz.com,zjoe12@ztestaudit.zantaz.com;zjoe22@ztestaudit.zantaz.com;zjoe32@ztestaudit.zantaz.com,zjoe13@ztestaudit.zantaz.com;zjoe23@ztestaudit.zantaz.com;zjoe33@ztestaudit.zantaz.com
kent@zel.com,zjoe21@ztestaudit.zantaz.com;zjoe31@ztestaudit.zantaz.com;zjoe41@ztestaudit.zantaz.com;zjoe5@ztestaudit.zantaz.com,zjoe22@ztestaudit.zantaz.com;zjoe32@ztestaudit.zantaz.com;zjoeg2@ztestaudit.zantaz.com;zjoeg3@ztestaudit.zantaz.com,zjoe23@ztestaudit.zantaz.com;zjoe33@ztestaudit.zantaz.com;zjoeg5@ztestaudit.zantaz.com;zjoeg4@ztestaudit.zantaz.com
kent@zel.com,zjoe11@ztestaudit.zantaz.com;zjoe21@ztestaudit.zantaz.com;zjoe31@ztestaudit.zantaz.com;zjoe41@ztestaudit.zantaz.com;zjoe5@ztestaudit.zantaz.com,zjoe12@ztestaudit.zantaz.com;zjoe22@ztestaudit.zantaz.com;zjoe32@ztestaudit.zantaz.com;zjoeg2@ztestaudit.zantaz.com;zjoeg3@ztestaudit.zantaz.com,zjoe13@ztestaudit.zantaz.com;zjoe23@ztestaudit.zantaz.com;zjoe33@ztestaudit.zantaz.com;zjoeg5@ztestaudit.zantaz.com;zjoeg4@ztestaudit.zantaz.com
nowhere@zel.com,zjoe21@ztestaudit.zantaz.com;zjoe31@ztestaudit.zantaz.com;zjoeg4@ztestaudit.zantaz.com,zjoe22@ztestaudit.zantaz.com;zjoe32@ztestaudit.zantaz.com;group5@moneky.com,zjoe23@ztestaudit.zantaz.com;zjoe33@ztestaudit.zantaz.com
kent@zel.com,zjoeg1@ztestaudit.zantaz.com;zjoe41@ztestaudit.zantaz.com,zjoeg2@ztestaudit.zantaz.com;zjoe5@ztestaudit.zantaz.com,zjoeg3@ztestaudit.zantaz.com
nowhere@zel.com,zjoeg1@ztestaudit.zantaz.com,zjoeg4@ztestaudit.zantaz.com,zjoeg5@ztestaudit.zantaz.com
kent@zel.com,zjoe12@ztestaudit.zantaz.com,,zjoeg2@ztestaudit.zantaz.com;zjoeg3@ztestaudit.zantaz.com;zjoeg4@ztestaudit.zantaz.com;zjoeg5@ztestaudit.zantaz.com
kent@zel.com,zjoe13@ztestaudit.zantaz.com,zjoeg2@ztestaudit.zantaz.com;zjoeg3@ztestaudit.zantaz.com;zjoeg4@ztestaudit.zantaz.com;zjoeg5@ztestaudit.zantaz.com,
nowhere@zel.com,nobody@ztestaudit.zantaz.com,,
nowhere@zel.com,,nobody@ztestaudit.zantaz.com,
nowhere@zel.com,,,nobody@ztestaudit.zantaz.com
nowhere@zel.com,,,zjoe11@ztestaudit.zantaz.com;nobody@ztestaudit.zantaz.com
nowhere@zel.com,zjoeg2@ztestaudit.zantaz.com,nobody@ztestaudit.zantaz.com,
nowhere@zel.com,,nobody@ztestaudit.zantaz.com,nobody@ztestaudit.zantaz.com
nowhere@zel.com,nobody@ztestaudit.zantaz.com,,zjoeg4@ztestaudit.zantaz.com
nowhere@zel.com,zjoeg5@ztestaudit.zantaz.com,nobody@ztestaudit.zantaz.com,nobody@ztestaudit.zantaz.com
